time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
1692029174,0,0,0,0,0,0,1.010101,1.5151515,0
1692029173,0,0,0,0,0,0.5050505,0.5050505,1.010101,0
1692029172,0,0,0,0,0,0.5050505,0.5050505,1.010101,0
1692029171,0,0,0.5,0,0,2,1,1,0
1692029170,0,0,0,0,0,0.5076142,0.5076142,1.5228426,0
1692029169,0,0,0,0,0,0.5128205,0.5128205,1.025641,0
1692029168,0,0,0,0.4975124,0,0.9950249,0.9950249,1.4925373,0
1692029167,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692029166,0,0,0.5,0,0,1,0.5,1,0
1692029165,0,0,0,0,0,0.5076142,0.5076142,1.0152284,0
1692029164,0,0,0,0,0,0.5025126,1.0050251,1.0050251,0
1692029163,0,0,0,0,0,0,0.5102041,1.0204082,0
1692029162,0,0,0.5025126,0,0,0.5025126,1.0050251,1.5075377,0
1692029161,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692029160,0,0,0.990099,0,0,0.990099,0.990099,1.4851485,0
1692029159,0,0,0,0,0,0,1.0204082,1.0204082,0
1692029158,0,0,0,0,0,0.5025126,1.5075377,1.0050251,0
1692029157,0,0,0.5025126,0,0,0.5025126,0.5025126,1.0050251,0
1692029156,0,0,0,0,0,0,1.4925373,1.99005,0
1692029155,0,0,0,0,0,0,0.5076142,1.0152284,0
1692029154,0,0,0,0,0,1.010101,1.010101,1.010101,0
1692029153,0,0,0,0,0,1,1,1,0.5
1692029152,0,0,0,0,0,0,1.0152284,0.5076142,0
1692029151,0,0,0,0,0,1.010101,0.5050505,0.5050505,0
1692029150,0,0,0.4975124,0,0,0.9950249,0.9950249,0.9950249,0
1692029149,0,0,0,0,0,0.5025126,1.0050251,2.01005,0
1692029148,0,0,0,0,0,0.5050505,1.010101,1.010101,0
1692029147,0,0,0,0,0,0,1.010101,1.010101,0
1692029146,0,0,0,0,0,1.010101,0.5050505,0.5050505,0
1692029145,0,0,0,0,0,0,1.0050251,1.5075377,0
1692029144,0,0,0.5050505,0,0,1.010101,1.010101,0.5050505,0
1692029143,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692029142,0,0,0,0,0,0.5025126,1.0050251,1.0050251,0
1692029141,0,0,0,0,0,0,1.0050251,1.5075377,0
1692029140,0,0,0,0,0,0.5076142,1.0152284,0,0
1692029139,0,0,0,0,0,0.5025126,1.0050251,2.01005,0
1692029138,0,0,0.5,0,0,0.5,1,1,0
1692029137,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692029136,0,0,0,0,0,0.5050505,1.010101,1.010101,0
1692029135,0,0,0,0,0,0.5025126,0.5025126,1.5075377,0
1692029134,0,0,0,0,0,0.5076142,0.5076142,0.5076142,0
1692029133,0,0,0,0,0,0.5,1,1.5,0
1692029132,0,0,0.5025126,0,0,1.0050251,0,1.0050251,0
1692029131,0,0,0,0,0,0,1.5151515,1.010101,0
1692029130,0,0,0,0,0,1,1.5,0.5,0
1692029129,0,0,0,0,0,0,1.5151515,1.5151515,0
1692029128,0,0,0,0,0,1.010101,0,1.010101,0
1692029127,0,0,0,0,0,0,1.5151515,0.5050505,0
1692029126,0,0,0.5,0,0,0.5,1,1,0
1692029125,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692029124,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692029123,0,0,0,0,0,0,0.5050505,1.5151515,0
1692029122,0,0,0,0,0,1.0050251,0.5025126,1.0050251,0
1692029121,0,0,0.5025126,0,0,1.0050251,1.0050251,0.5025126,0
1692029120,0,0,0,0,0,0.5025126,1.0050251,1.0050251,0
1692029119,0,0,0,0,0,0.5128205,0,1.025641,0
1692029118,0,0,0,0,0,0.5025126,1.0050251,1.0050251,0
1692029117,0,0,0,0,0,1.5,1,1,0
1692029116,0,0,0,0,0,0,1.0204082,0.5102041,0
1692029115,0,0,0.4975124,0,0,0.9950249,0.9950249,0.9950249,0
1692029114,0,0,0,0,0,0,1.010101,1.010101,0
1692029113,0,0,0,0,0,0,0.5076142,1.0152284,0
1692029112,0,0,0,0,0,0.5025126,1.0050251,1.0050251,0
1692029111,0,0,0,0,0,0.5050505,0.5050505,1.010101,0
1692029110,0,0,0,0,0,0.5050505,1.010101,1.010101,0
1692029109,0,0,0.5025126,0,0,0.5025126,1.0050251,1.5075377,0
1692029108,0,0,0,0,0,0.5050505,0,1.5151515,0
1692029107,0,0,0,0,0,0.5025126,1.0050251,1.0050251,0
1692029106,0,0,0,0,0,0,0.5076142,1.0152284,0
1692029105,0,0,0,0,0,0.5025126,1.5075377,0.5025126,0
1692029104,0,0,0.5050505,0,0,0.5050505,1.010101,0.5050505,0
1692029103,0,0,0,0,0,0,1.010101,1.010101,0
1692029102,0,0,0,0,0,1.0050251,1.0050251,1.0050251,0
1692029101,0,0,0,0,0,0.5050505,0.5050505,1.010101,0
1692029100,0,0,1.4925373,0,0,0.9950249,1.4925373,0.4975124,0
1692029099,0,0,0,0,0,0.5025126,1.0050251,2.01005,0
1692029098,0,0,0,0,0,1.010101,0,1.010101,0
1692029097,0,0,0,0,0,1.0050251,0.5025126,1.0050251,0
1692029096,0,0,0,0,0,0,1.5151515,0.5050505,0
1692029095,0,0,0.5025126,0,0,0.5025126,0.5025126,1.0050251,0
1692029094,0,0,0,0,0,0,0.5102041,1.0204082,0
1692029093,0,0,0,0,0,0.5025126,1.5075377,1.0050251,0
1692029092,0,0,0,0,0,1.010101,0.5050505,0.5050505,0
1692029091,0,0,0,0,0,0.5025126,1.0050251,1.0050251,0
1692029090,0,0,0,0,0,2.01005,1.0050251,0.5025126,0
1692029089,0,0,0.5,0,0,0.5,1,2,0
1692029088,0,0,0,0,0,0.5025126,1.5075377,1.0050251,0
1692029087,0,0,0,0,0,0.5025126,1.0050251,1.0050251,0
1692029086,0,0,0,0,0,0.5050505,0.5050505,1.010101,0
1692029085,0,0,0,0,0,1.0050251,1.0050251,0.5025126,0
1692029084,0,0,0,0,0,0,1.010101,1.010101,0
