time,free,used,cached,buffers
1692024212,1011.1797,381.2656,2428.215,90.96094
1692024211,1011.1797,381.2656,2428.215,90.96094
1692024210,1011.1797,381.2656,2428.215,90.96094
1692024209,1011.1797,381.2656,2428.215,90.96094
1692024208,1011.1797,381.2656,2428.215,90.96094
1692024207,1011.4258,381.0195,2428.215,90.96094
1692024206,1011.4258,381.0195,2428.215,90.96094
1692024205,1011.4258,381.0195,2428.215,90.96094
1692024204,1011.4258,381.0195,2428.215,90.96094
1692024203,1011.4258,381.0195,2428.215,90.96094
1692024202,1011.4258,381.0195,2428.215,90.96094
1692024201,1011.4258,381.0195,2428.215,90.96094
1692024200,1011.4258,381.0195,2428.215,90.96094
1692024199,1011.4258,381.0195,2428.215,90.96094
1692024198,1011.4258,381.0195,2428.215,90.96094
1692024197,1011.4258,381.0195,2428.215,90.96094
1692024196,1011.4258,381.0195,2428.215,90.96094
1692024195,1011.4258,381.0195,2428.215,90.96094
1692024194,1011.4258,381.0195,2428.215,90.96094
1692024193,1011.4258,381.0195,2428.215,90.96094
1692024192,1011.4258,381.0195,2428.215,90.96094
1692024191,1011.4258,381.0195,2428.215,90.96094
1692024190,1011.4258,381.0195,2428.215,90.96094
1692024189,1011.4258,381.0195,2428.215,90.96094
1692024188,1011.4258,381.0195,2428.215,90.96094
1692024187,1011.4258,381.0195,2428.215,90.96094
1692024186,1011.4258,381.0195,2428.215,90.96094
1692024185,1011.4258,381.0195,2428.215,90.96094
1692024184,1011.4258,381.0195,2428.215,90.96094
1692024183,1011.4258,381.0195,2428.215,90.96094
1692024182,1011.4258,381.0195,2428.215,90.96094
1692024181,1011.4258,381.0195,2428.215,90.96094
1692024180,1011.4258,381.0195,2428.215,90.96094
1692024179,1011.4258,381.0195,2428.215,90.96094
1692024178,1011.4258,381.0195,2428.215,90.96094
1692024177,1011.4258,381.0195,2428.215,90.96094
1692024176,1011.6719,380.7734,2428.215,90.96094
1692024175,1011.918,380.5273,2428.215,90.96094
1692024174,1011.918,380.5273,2428.215,90.96094
1692024173,1013.6406,378.8047,2428.215,90.96094
1692024172,1015.1172,377.3281,2428.215,90.96094
1692024171,1015.1172,377.3281,2428.215,90.96094
1692024170,1015.1172,377.3281,2428.215,90.96094
1692024169,1015.1172,377.3281,2428.215,90.96094
1692024168,1015.1172,377.3281,2428.215,90.96094
1692024167,1015.1172,377.3281,2428.215,90.96094
1692024166,1015.1172,377.3281,2428.215,90.96094
1692024165,1015.1172,377.3281,2428.215,90.96094
1692024164,1015.1172,377.3281,2428.215,90.96094
1692024163,1015.1172,377.3281,2428.215,90.96094
1692024162,1015.1172,377.332,2428.215,90.95703
1692024161,1015.1172,377.332,2428.215,90.95703
1692024160,1015.1172,377.332,2428.215,90.95703
1692024159,1015.1172,377.332,2428.215,90.95703
1692024158,1015.1172,377.332,2428.215,90.95703
1692024157,1015.1172,377.332,2428.215,90.95703
1692024156,1015.1172,377.332,2428.215,90.95703
1692024155,1015.1172,377.332,2428.215,90.95703
1692024154,1015.1172,377.332,2428.215,90.95703
1692024153,1015.1172,377.332,2428.215,90.95703
1692024152,1015.1172,377.332,2428.215,90.95703
1692024151,1015.1172,377.332,2428.215,90.95703
1692024150,1015.1172,377.332,2428.215,90.95703
1692024149,1015.1172,377.332,2428.215,90.95703
1692024148,1015.1172,377.332,2428.215,90.95703
1692024147,1015.1172,377.332,2428.215,90.95703
1692024146,1015.1172,377.332,2428.215,90.95703
1692024145,1015.1172,377.332,2428.215,90.95703
1692024144,1015.1172,377.332,2428.215,90.95703
1692024143,1015.1172,377.332,2428.215,90.95703
1692024142,1015.1172,377.332,2428.215,90.95703
1692024141,1015.1172,377.332,2428.215,90.95703
1692024140,1015.1172,377.332,2428.215,90.95703
1692024139,1015.1172,377.332,2428.215,90.95703
1692024138,1015.1172,377.332,2428.215,90.95703
1692024137,1015.1172,377.332,2428.215,90.95703
1692024136,1015.1172,377.332,2428.215,90.95703
1692024135,1015.1172,377.332,2428.215,90.95703
1692024134,1015.1172,377.332,2428.215,90.95703
1692024133,1015.1172,377.332,2428.215,90.95703
1692024132,1015.1172,377.332,2428.215,90.95703
1692024131,1015.1172,377.332,2428.215,90.95703
1692024130,1015.1172,377.332,2428.215,90.95703
1692024129,1015.1172,377.332,2428.215,90.95703
1692024128,1015.1172,377.332,2428.215,90.95703
1692024127,1015.1172,377.332,2428.215,90.95703
1692024126,1015.1172,377.332,2428.215,90.95703
1692024125,1015.1172,377.332,2428.215,90.95703
1692024124,1015.1172,377.332,2428.215,90.95703
1692024123,1015.1172,377.332,2428.215,90.95703
1692024122,1015.1172,377.332,2428.215,90.95703
1692024121,1015.1172,377.332,2428.215,90.95703
1692024120,1015.1172,377.3438,2428.207,90.95312
1692024119,1015.1172,377.3438,2428.207,90.95312
1692024118,1015.1172,377.3438,2428.207,90.95312
1692024117,1015.1172,377.3516,2428.199,90.95312
1692024116,1015.1172,377.3633,2428.191,90.94922
1692024115,1015.1172,377.3789,2428.176,90.94922
1692024114,1015.1172,377.3828,2428.172,90.94922
1692024113,1015.1172,377.3945,2428.16,90.94922
1692024112,1015.1172,377.4062,2428.148,90.94922
1692024111,1015.1172,377.4219,2428.137,90.94531
1692024110,1015.1172,377.4297,2428.129,90.94531
1692024109,1015.1172,377.4375,2428.121,90.94531
1692024108,1015.1172,377.4531,2428.109,90.94141
1692024107,1015.1172,377.4688,2428.094,90.94141
1692024106,1015.1172,377.4766,2428.086,90.94141
1692024105,1015.1172,377.4883,2428.074,90.94141
1692024104,1015.1172,377.4961,2428.066,90.94141
1692024103,1015.1172,377.5039,2428.059,90.94141
1692024102,1015.1172,377.5156,2428.047,90.94141
1692024101,1015.1172,377.5312,2428.031,90.94141
1692024100,1015.1172,377.543,2428.02,90.94141
1692024099,1015.1172,377.5508,2428.012,90.94141
1692024098,1015.1172,377.5586,2428.004,90.94141
1692024097,1015.1172,377.5664,2427.996,90.94141
1692024096,1015.1172,377.582,2427.98,90.94141
1692024095,1015.1172,377.5898,2427.973,90.94141
1692024094,1015.1172,377.6055,2427.957,90.94141
1692024093,1015.1172,377.6172,2427.945,90.94141
1692024092,1015.1172,377.6289,2427.934,90.94141
1692024091,1015.1172,377.6367,2427.926,90.94141
1692024090,1015.1172,377.6523,2427.91,90.94141
1692024089,1015.1172,377.6602,2427.902,90.94141
1692024088,1015.1172,377.6719,2427.891,90.94141
1692024087,1015.1172,377.6797,2427.883,90.94141
1692024086,1015.1172,377.6875,2427.875,90.94141
1692024085,1015.1172,377.7031,2427.859,90.94141
1692024084,1015.1172,377.7109,2427.852,90.94141
1692024083,1015.1172,377.7227,2427.84,90.94141
1692024082,1015.1172,377.7344,2427.828,90.94141
1692024081,1015.1172,377.7383,2427.824,90.94141
1692024080,1015.1172,377.7891,2427.773,90.94141
1692024079,1015.1172,377.793,2427.77,90.94141
1692024078,1015.1172,377.8047,2427.758,90.94141
1692024077,1015.1172,377.8203,2427.742,90.94141
1692024076,1015.1172,377.8359,2427.727,90.94141
1692024075,1015.1172,377.8438,2427.719,90.94141
1692024074,1015.1172,377.8633,2427.699,90.94141
1692024073,1015.1172,377.8672,2427.699,90.9375
1692024072,1015.1172,377.8828,2427.684,90.9375
1692024071,1015.1172,377.8867,2427.68,90.9375
