time,free,used,cached,buffers
1692036669,1007.3477,378.043,2434.207,92.02344
1692036668,1007.3477,378.043,2434.207,92.02344
1692036667,1007.3477,378.043,2434.207,92.02344
1692036666,1007.3477,378.043,2434.207,92.02344
1692036665,1007.3477,378.0625,2434.188,92.02344
1692036664,1007.3477,378.0781,2434.172,92.02344
1692036663,1009.3164,376.1367,2434.145,92.02344
1692036662,1011.5312,373.9453,2434.121,92.02344
1692036661,1013.9922,371.5078,2434.098,92.02344
1692036660,1014.4844,371.0352,2434.078,92.02344
1692036659,1014.4844,371.0625,2434.051,92.02344
1692036658,1014.4844,371.082,2434.031,92.02344
1692036657,1014.4844,371.1094,2434.012,92.01562
1692036656,1014.4844,371.1328,2433.988,92.01562
1692036655,1014.4844,371.1523,2433.969,92.01562
1692036654,1014.4844,371.1836,2433.938,92.01562
1692036653,1014.4844,371.1953,2433.926,92.01562
1692036652,1015.4688,370.2383,2433.898,92.01562
1692036651,1015.4688,370.25,2433.887,92.01562
1692036650,1015.4688,370.2773,2433.859,92.01562
1692036649,1015.4688,370.293,2433.844,92.01562
1692036648,1015.4688,370.3164,2433.82,92.01562
1692036647,1015.4688,370.332,2433.809,92.01172
1692036646,1015.4688,370.3633,2433.777,92.01172
1692036645,1015.4688,370.3828,2433.758,92.01172
1692036644,1015.4688,370.418,2433.723,92.01172
1692036643,1015.4688,370.4258,2433.715,92.01172
1692036642,1015.4688,370.4531,2433.688,92.01172
1692036641,1015.4688,370.4688,2433.672,92.01172
1692036640,1015.4688,370.4883,2433.652,92.01172
1692036639,1015.4688,370.5039,2433.637,92.01172
1692036638,1017.4375,368.5586,2433.613,92.01172
1692036637,1017.4375,368.582,2433.59,92.01172
1692036636,1017.4375,368.6055,2433.566,92.01172
1692036635,1019.4062,366.6562,2433.547,92.01172
1692036634,1021.1289,364.9531,2433.527,92.01172
1692036633,1021.1289,364.9766,2433.504,92.01172
1692036632,1021.1289,364.9961,2433.484,92.01172
1692036631,1022.8516,363.2969,2433.461,92.01172
1692036630,1022.8516,363.3164,2433.441,92.01172
1692036629,1022.8516,363.3359,2433.422,92.01172
1692036628,1023.332,362.8906,2433.387,92.01172
1692036627,1023.332,362.9023,2433.375,92.01172
1692036626,1025.0547,361.2109,2433.348,92.00781
1692036625,1027.2695,359.0195,2433.324,92.00781
1692036624,1027.2695,359.043,2433.301,92.00781
1692036623,1027.2695,359.0547,2433.289,92.00781
1692036622,1028.9922,357.3594,2433.262,92.00781
1692036621,1029.2383,357.1289,2433.246,92.00781
1692036620,1029.4844,356.9062,2433.223,92.00781
1692036619,1029.7305,356.6836,2433.199,92.00781
1692036618,1031.6992,354.7383,2433.176,92.00781
1692036617,1033.9141,352.5391,2433.16,92.00781
1692036616,993.9453,392.5312,2433.137,92.00781
1692036615,993.9453,392.543,2433.125,92.00781
1692036614,995.9141,390.6016,2433.098,92.00781
1692036613,995.9141,390.625,2433.074,92.00781
1692036612,997.6367,388.9141,2433.062,92.00781
1692036611,999.6055,386.9805,2433.027,92.00781
1692036610,999.6055,386.9961,2433.012,92.00781
1692036609,999.8516,386.7734,2432.988,92.00781
1692036608,1000.5898,386.0625,2432.961,92.00781
1692036607,1002.0664,384.6016,2432.945,92.00781
1692036606,1002.0664,384.625,2432.922,92.00781
1692036605,1004.0352,382.6797,2432.898,92.00781
1692036604,1004.0352,382.6953,2432.883,92.00781
1692036603,1004.0352,382.7188,2432.859,92.00781
1692036602,1004.0352,382.7344,2432.844,92.00781
1692036601,1004.0352,382.7539,2432.824,92.00781
1692036600,1005.5117,381.3086,2432.793,92.00781
1692036599,1005.5117,381.3281,2432.773,92.00781
1692036598,1005.5117,381.3555,2432.746,92.00781
1692036597,1007.7266,379.1562,2432.73,92.00781
1692036596,1009.4492,377.4609,2432.707,92.00391
1692036595,1009.4492,377.4727,2432.695,92.00391
1692036594,1009.6953,377.2617,2432.66,92.00391
1692036593,1009.6953,377.2773,2432.645,92.00391
1692036592,1009.6953,377.3047,2432.617,92.00391
1692036591,1010.6797,376.3359,2432.602,92.00391
1692036590,1010.6797,376.3555,2432.582,92.00391
1692036589,1010.6797,376.375,2432.562,92.00391
1692036588,1010.6797,376.3984,2432.539,92.00391
1692036587,1010.6797,376.4102,2432.527,92.00391
1692036586,1010.6797,376.4453,2432.496,92
1692036585,1010.6797,376.4609,2432.48,92
1692036584,1010.6797,376.4922,2432.449,92
1692036583,1010.6797,376.5117,2432.43,92
1692036582,1010.6797,376.5273,2432.414,92
1692036581,1010.6797,376.5508,2432.391,92
1692036580,1010.6797,376.582,2432.359,92
1692036579,1010.6797,376.6016,2432.34,92
1692036578,1010.6797,376.6211,2432.32,92
1692036577,1010.6797,376.6406,2432.301,92
1692036576,1010.6797,376.668,2432.273,92
1692036575,1010.6797,376.6797,2432.262,92
1692036574,1010.6797,376.7031,2432.238,92
1692036573,1010.6797,376.7227,2432.219,92
1692036572,1010.6797,376.7461,2432.195,92
1692036571,1010.6797,376.7617,2432.184,91.99609
1692036570,1010.6797,376.793,2432.152,91.99609
1692036569,1010.6797,376.8047,2432.141,91.99609
1692036568,1011.1719,376.3477,2432.105,91.99609
1692036567,1011.1719,376.3633,2432.09,91.99609
1692036566,1011.1719,376.3867,2432.066,91.99609
1692036565,1011.1719,376.4141,2432.039,91.99609
1692036564,1011.1719,376.4258,2432.027,91.99609
1692036563,1011.1719,376.4492,2432.004,91.99609
1692036562,1011.1719,376.4609,2431.992,91.99609
1692036561,1011.1719,376.4961,2431.961,91.99219
1692036560,1011.418,376.2617,2431.949,91.99219
1692036559,1011.418,376.2852,2431.926,91.99219
1692036558,1013.3867,374.3359,2431.906,91.99219
1692036557,1015.3555,372.3867,2431.887,91.99219
1692036556,1015.6016,372.1602,2431.867,91.99219
1692036555,1015.6016,372.1836,2431.844,91.99219
1692036554,1015.6016,372.207,2431.82,91.99219
1692036553,1015.6016,372.2344,2431.793,91.99219
1692036552,1015.6016,372.25,2431.777,91.99219
1692036551,1015.6016,372.2891,2431.746,91.98438
1692036550,1015.6016,372.3086,2431.727,91.98438
1692036549,1015.6016,372.3281,2431.707,91.98438
1692036548,1015.6016,372.3438,2431.691,91.98438
1692036547,1015.6016,372.3633,2431.672,91.98438
1692036546,1015.6016,372.3945,2431.648,91.97656
1692036545,1015.8477,372.168,2431.629,91.97656
1692036544,1016.0938,371.9375,2431.613,91.97656
1692036543,1016.0938,371.9609,2431.59,91.97656
1692036542,1016.0938,371.9766,2431.574,91.97656
1692036541,1016.3398,371.7695,2431.539,91.97266
1692036540,1016.3398,371.7773,2431.531,91.97266
1692036539,1016.3398,371.8086,2431.5,91.97266
1692036538,1016.3398,371.8242,2431.484,91.97266
1692036537,1016.3398,371.8438,2431.465,91.97266
1692036536,1016.3398,371.8633,2431.445,91.97266
1692036535,1016.3398,371.8789,2431.43,91.97266
1692036534,1016.3398,371.8984,2431.41,91.97266
1692036533,1016.3398,371.9297,2431.379,91.97266
1692036532,1016.3398,371.9531,2431.355,91.97266
1692036531,1016.3398,371.9805,2431.332,91.96875
1692036530,1016.3398,371.9922,2431.32,91.96875
1692036529,1018.0625,370.293,2431.297,91.96875
1692036528,1018.0625,370.3203,2431.27,91.96875
1692036527,1019.7852,368.625,2431.242,91.96875
1692036526,1021.7539,366.6719,2431.227,91.96875
1692036525,1023.7227,364.7266,2431.203,91.96875
1692036524,1023.7227,364.75,2431.18,91.96875
1692036523,1024.4609,364.0312,2431.16,91.96875
1692036522,1024.4609,364.0508,2431.141,91.96875
1692036521,1024.4609,364.0859,2431.105,91.96875
1692036520,1024.4609,364.1016,2431.09,91.96875
1692036519,1024.4609,364.125,2431.066,91.96875
1692036518,1024.707,363.8906,2431.055,91.96875
1692036517,1024.707,363.9219,2431.023,91.96875
1692036516,1024.707,363.9336,2431.012,91.96875
1692036515,1024.707,363.9648,2430.98,91.96875
1692036514,1024.707,363.9805,2430.965,91.96875
1692036513,1024.707,364,2430.945,91.96875
1692036512,1024.707,364.0195,2430.926,91.96875
1692036511,1024.707,364.043,2430.902,91.96875
1692036510,1024.707,364.0703,2430.875,91.96875
1692036509,1024.707,364.0938,2430.852,91.96875
1692036508,1024.707,364.1172,2430.828,91.96875
1692036507,1024.707,364.1367,2430.809,91.96875
1692036506,1024.707,364.1641,2430.785,91.96484
1692036505,1024.9531,363.9375,2430.766,91.96484
1692036504,1024.9531,363.957,2430.746,91.96484
1692036503,1024.9531,363.9727,2430.73,91.96484
1692036502,1024.9531,364,2430.703,91.96484
1692036501,1024.9531,364.0195,2430.684,91.96484
1692036500,1024.9531,364.043,2430.66,91.96484
1692036499,1024.9531,364.0547,2430.648,91.96484
1692036498,1024.9531,364.082,2430.621,91.96484
1692036497,1026.4297,362.6211,2430.605,91.96484
1692036496,1028.6445,360.4375,2430.574,91.96484
1692036495,1028.6445,360.457,2430.555,91.96484
1692036494,1029.3828,359.7383,2430.535,91.96484
1692036493,1029.3828,359.7617,2430.512,91.96484
1692036492,1029.6289,359.5352,2430.492,91.96484
1692036491,1029.875,359.3203,2430.465,91.96094
1692036490,1029.875,359.3438,2430.441,91.96094
1692036489,1029.875,359.3594,2430.426,91.96094
1692036488,1029.875,359.3789,2430.406,91.96094
